names,scores,logfoldchanges,pvals,pvals_adj
RPL10,26.801916,,3.06925307803579e-158,7.269832840635573e-154
PTMA,26.601675,,6.491936251820326e-156,7.688400103030812e-152
RPL19,26.282032,,3.077715456441256e-152,2.429958943375586e-148
RPL41,25.96369,,1.2738136280830944e-148,7.542887398694043e-145
MTRNR2L2,25.894348,,7.71097382778297e-148,3.652842521697348e-144
RPLP1,25.639328,,5.56126779461535e-145,2.1954031497209864e-141
RPL13A,25.545803,,6.113191789228265e-144,2.0685294388522955e-140
RPL6,25.540438,,7.012493766754775e-144,2.0762240919919199e-140
RPS4X,25.493864,,2.3055816857869996e-143,6.067778645505652e-140
RPL3,25.375204,,4.7373060144394404e-142,1.1220783025801258e-138
RPL37A,25.360167,,6.941728818073706e-142,1.4947435344081253e-138
RPS27A,25.261276,,8.515208826035002e-141,1.6807603021122087e-137
RPL5,25.257717,,9.317477539781048e-141,1.6976444077481068e-137
MTRNR2L8,25.183231,,6.115293710685637e-140,1.0346203345092856e-136
PPIA,25.137081,,1.9565578240289822e-139,3.0895352413300314e-136
RPS5,25.12501,,2.6512204689487637e-139,3.924800501720026e-136
RPL4,25.117924,,3.1686898026491596e-139,4.4149168626792935e-136
RPLP0,25.07587,,9.119213254986135e-139,1.1999871397644532e-135
RPS27,25.02423,,3.331713758316864e-138,4.153419583131223e-135
MTRNR2L1,24.788134,,1.203723686742218e-135,1.4255699622088086e-132
RPS8,24.73835,,4.1380247756942014e-135,4.6672978493853736e-132
RPL7,24.69712,,1.1484179970514614e-134,1.2364285762800416e-131
RPS13,24.635891,,5.213317997156047e-134,5.368810873071222e-131
RPS3A,24.594471,,1.4475157003963645e-133,1.4285773699828454e-130
FTH1,24.571112,,2.5729623257213497e-133,2.4377274258814358e-130
TMSB10,24.519289,,9.199330953608022e-133,8.380590498736908e-130
RPL21,24.50595,,1.2763981102868115e-132,1.1197320607501267e-129
RPS14,24.46637,,3.369804147747996e-132,2.850613608698537e-129
RPS25,24.45543,,4.405813641153078e-132,3.5984862725638554e-129
GAPDH,24.41099,,1.307285674945303e-131,1.0321456165584816e-128
RPL18A,24.361967,,4.3294999247322033e-131,3.3080172650711926e-128
RPL11,24.323124,,1.1162544615994573e-130,8.262375992951483e-128
RPL23A,24.292297,,2.364509635674173e-130,1.6971447039569233e-127
UBB,24.161945,,5.5922294557460187e-129,3.8958102026117707e-126
RPL10A,24.083185,,3.7508619451761264e-128,2.5383690295269064e-125
RPS24,23.952559,,8.68997147029358e-127,5.7175184512603815e-124
RPS9,23.900684,,3.012955277945222e-126,1.9287799652273115e-123
RPL7A,23.880291,,4.9084835127344196e-126,3.0595352758586176e-123
RPL34,23.857735,,8.41770352553606e-126,5.112351941175568e-123
RPS3,23.766806,,7.365121079504703e-125,4.36125644722871e-122
RPL9,23.629442,,1.9205565763100943e-123,1.1095195869873388e-120
RPL24,23.450027,,1.3210782013716397e-121,7.450251970878251e-119
RPS28,23.345455,,1.5327627373732378e-120,8.443027487772676e-118
RPS6,23.344208,,1.5780920106144883e-120,8.495156218957902e-118
RPS15,23.253576,,1.308832770419565e-119,6.889114000035071e-117
RPSA,23.2382,,1.8724227898583352e-119,9.641349174040114e-117
RPS18,23.212463,,3.4078298835140677e-119,1.717401247253494e-116
RPS19,23.1998,,4.5743405669848446e-119,2.2572464722833964e-116
RPS26,23.139393,,1.8590933438526395e-118,8.986629580100738e-116
MTRNR2L10,23.126657,,2.497437183929551e-118,1.1830859427711068e-115
RPS7,23.116583,,3.1539257328028255e-118,1.4647820570032888e-115
TPT1,23.087498,,6.183023689911183e-118,2.816367290754544e-115
ACTB,23.076778,,7.922372081843085e-118,3.540552926991232e-115
RPL18,23.064665,,1.0482140608536129e-117,4.597777452847903e-115
RPS11,23.037155,,1.978666770696431e-117,8.521218387402847e-115
RPL17,22.997837,,4.8994222079550145e-117,2.0722806146004013e-114
PRDX2,22.8476,,1.543903796148688e-115,6.415597423785583e-113
RPL30,22.791058,,5.623958918895953e-115,2.2967084647063716e-112
RPL8,22.746767,,1.544749883370928e-114,6.201516226698949e-112
RPS2,22.733946,,2.0688054950939513e-114,8.166954492799222e-112
NACA,22.651257,,1.355917322485653e-113,5.264960278753307e-111
RPL15,22.607239,,3.6784435479769106e-113,1.4052840947964694e-110
EEF1G,22.530525,,2.0846886751622818e-112,7.837767612681557e-110
H3F3AP4,22.453115,,1.1931025032406426e-111,4.415597795587166e-109
RPL13,22.451056,,1.2496767657359145e-111,4.553822134341672e-109
RPLP2,22.38673,,5.300741009110203e-111,1.9023235082088526e-108
RPS20,22.369074,,7.875613521752847e-111,2.7842056996453424e-108
RPL26,22.366127,,8.413244060872849e-111,2.9305308650857984e-108
MYL6,22.320124,,2.356347676287349e-110,8.088761023266977e-108
RPS15A,22.313766,,2.716319418910112e-110,9.191248822329273e-108
RPL12,22.2869,,4.9510978002142705e-110,1.6517141196602144e-107
RPL32,22.130697,,1.600859161214996e-108,5.266381957297e-106
RPL35A,22.070986,,6.006726750289009e-108,1.948977120648568e-105
RPL31,22.058144,,7.978969465916542e-108,2.553917172563503e-105
