names,scores,logfoldchanges,pvals,pvals_adj
NCOA1,27.519693,4.9100575,1.0205724024407329e-166,3.7353970501733264e-162
CELF2,26.955807,5.010778,4.876887321483381e-160,8.924947642680661e-156
EMC10,26.884533,7.4114575,3.3308748300710884e-159,4.06377832184773e-155
DLG2,26.593845,4.49821,7.997107121800004e-156,7.317552944125049e-152
AC020909.2,26.22327,7.406216,1.442648981081585e-151,1.0560479071313419e-147
CAP2,25.587955,4.628827,2.0773610335724245e-144,1.2672248531630716e-140
AP001825.1,25.198088,4.9419894,4.203816789839492e-140,2.1980556903559322e-136
RALGPS2,25.145977,3.4976146,1.563893386336619e-139,7.155007729163325e-136
CCSER2,24.76556,3.7919004,2.1077929368275833e-135,8.571925475647375e-132
ANGPTL1,24.514803,3.7794743,1.0271074373280848e-132,3.759315931364524e-129
QKI,24.253067,3.1264532,6.1372954808241626e-130,2.0421013808513198e-126
NELL1,24.06217,7.278875,6.225893309144611e-128,1.898949341733349e-124
MAGI1,23.758553,2.7801719,8.963978826184061e-125,2.5237737616704832e-121
CLCN5,23.731308,4.3133426,1.7137790542355964e-124,4.48043051171979e-121
SYN2,23.673218,3.3034523,6.807462618350567e-124,1.6610662619616606e-120
RYR1,23.370045,7.472298,8.621177816257105e-121,1.9721483078301645e-117
HIPK3,22.874249,4.193481,8.385757226155584e-116,1.8054535307912972e-112
SLF2,22.852766,4.1492696,1.3716864609556752e-115,2.7891720087465926e-112
ENAH,22.773457,2.5495014,8.405071898609845e-115,1.619126508215889e-111
AC009041.2,22.685705,6.834059,6.200474347090291e-114,1.1347178078892588e-110
AC092640.1,22.511147,6.786184,3.2281637587279506e-112,5.62638198729532e-109
UFL1-AS1,22.17393,4.496753,6.131834845341488e-109,1.0201422144288353e-105
BLCAP,22.166622,3.74376,7.212373892157941e-109,1.1477395514211861e-105
TNNT2,22.156456,5.2703695,9.0389298670557e-109,1.3784744669337735e-105
FOXO1,22.124634,3.2857008,1.8311510553225725e-108,2.680878391034459e-105
ADGRL3,21.814417,3.3594787,1.693121438097698e-105,2.3834591444543787e-102
FRMD3,21.801838,3.9403284,2.228899168897306e-105,3.0214792029929737e-102
KCNQ1OT1,21.700006,3.45155,2.051340507394842e-104,2.6814683539699503e-101
JAM3,21.566563,2.935236,3.7019856251227936e-103,4.672288822935151e-100
MIR503HG,21.537958,6.997508,6.866762556806838e-103,8.377679211389569e-100
DGKB,21.403032,5.0934525,1.2519435209538816e-101,1.478141445497839e-98
AP000857.2,21.38646,4.932731,1.7861400631354246e-101,2.0429535140881147e-98
TTN,21.357384,5.6269693,3.3294809969636054e-101,3.6927979990868155e-98
SLC38A6,21.336485,4.143955,5.206448586446193e-101,5.604741903309327e-98
GEN1,21.144907,3.8523736,3.073898346726584e-99,3.2145072396725633e-96
CELF2-AS2,20.777681,5.248208,6.890712827260587e-96,7.005749449737909e-93
ZSWIM6,20.732922,2.8963244,1.7484780987883016e-95,1.7296228890202874e-92
FHL5,20.724255,6.6741276,2.0934158148167863e-95,2.0163450588976106e-92
SASH1,20.677803,3.2640443,5.488330232538049e-95,5.150727560028849e-92
PPP1R12B,20.455667,2.6637678,5.348432328728017e-93,4.893949291594354e-90
PLAC1,20.344133,5.666317,5.2327906049623996e-92,4.6713504617616775e-89
DEPTOR,20.28839,4.618443,1.6284451198260863e-91,1.419112376922728e-88
LRRFIP1,20.07838,2.7533674,1.1405202400113794e-89,9.70794914061779e-87
TULP4,19.830744,2.5485542,1.6163052015002766e-87,1.3445087881843552e-84
MAGI1-AS1,19.817144,2.7515209,2.117940398220559e-87,1.7226385892282372e-84
UFL1,19.81486,3.5480099,2.2162637144651995e-87,1.7634232220247993e-84
SIRT2,19.75446,4.4422874,7.343906284947082e-87,5.719027956071237e-84
MTHFD1L,19.735409,2.603726,1.0707716566015862e-86,8.1648569590155535e-84
